accession,cluster,split
A0A0U1RQF7,A0A0U1RQF7,train
A0A0U1RQG5,A0A0U1RQG5,test
A0A0U1RQI7,A0A0U1RQI7,test
A0A0U1RR11,Q7Z7K6,train
A0A0U1RRE5,A0A0U1RRE5,train
A0A0U1RRI6,Q7Z7K6,train
A0A0U1RRK4,A0A0U1RRK4,train
A0A0X1KG70,O43869,train
A0A1B0GTD5,A0A1B0GTD5,val
A0A1B0GTH6,A0A1B0GTH6,train
A0A1B0GTI1,A0A1B0GTI1,train
A0A1B0GTI8,A0A1B0GTI8,train
A0A1B0GTJ6,A0A1B0GTJ6,train
A0A1B0GTK4,A0A1B0GTK4,train
A0A1B0GTL2,A0A1B0GTL2,val
A0A1B0GTQ4,A0A1B0GTQ4,val
A0A1B0GTR0,A0A1B0GTR0,test
A0A1B0GTR3,A0A1B0GTR3,train
A0A1B0GTS1,A0A1B0GTS1,val
A0A1B0GTU1,O75152,train
A0A1B0GTW7,A0A1B0GTW7,train
A0A1B0GTZ2,A0A1B0GTZ2,train
A0A1B0GUA5,A0A1B0GUA5,val
A0A1B0GUA6,A0A1B0GUA6,val
A0A1B0GUA9,A0A1B0GUA9,train
A0A1B0GUC4,A0A1B0GUC4,test
A0A1B0GUI7,A0A1B0GUI7,train
A0A1B0GUJ8,Q9ULN7,train
A0A1B0GUS0,A0A1B0GUS0,test
A0A1B0GUS4,Q9Y385,train
A0A1B0GUU1,A0A1B0GUU1,train
A0A1B0GUV7,A0A1B0GUV7,train
A0A1B0GUW6,A0A1B0GUW6,train
A0A1B0GUX0,A0A1B0GUX0,test
A0A1B0GUY1,A0A1B0GUY1,test
A0A1B0GV03,Q08379,train
A0A1B0GV85,A0A1B0GV85,test
A0A1B0GV96,A0A1B0GV96,test
A0A1B0GVB3,A0A1B0GVB3,train
A0A1B0GVG4,A0A1B0GVG4,test
A0A1B0GVG6,A0A1B0GVG6,train
A0A1B0GVH6,A0A1B0GVH6,train
A0A1B0GVH7,A0A1B0GVH7,train
A0A1B0GVN3,A0A1B0GVN3,train
A0A1B0GVQ0,A0A1B0GVQ0,train
A0A1B0GVR7,A0A1B0GVR7,test
A0A1B0GVS7,A0A1B0GVS7,train
A0A1B0GVZ2,A0A1B0GVR7,test
A0A1B0GVZ6,Q9UBB5,train
A0A1B0GVZ9,A0A1B0GVZ9,val
A0A1B0GW64,A0A1B0GW64,val
A0A1B0GWB2,A0A1B0GWB2,train
A0A1B0GWG4,A0A1B0GWG4,test
A0A1B0GWH4,A0A1B0GTS1,val
A0A1B0GX49,A0A075B6N3,test
A0A1B0GX56,P0DTU3,train
A0A1B0GX68,A0A075B6N3,test
A0A1B0GXF2,A0A075B6N3,test
A0A1W2PPD8,O94953,train
A0A1W2PPF3,A0A1W2PPF3,train
A0A1W2PPG7,P50150,train
A0A1W2PPK0,A0A1W2PPK0,train
A0A1W2PQ27,A0A1W2PQ27,train
A0A1W2PQ64,A0A1W2PQ27,train
A0A1W2PQ72,A0A1W2PQ72,val
A0A1W2PQ73,P50548,train
A0A1W2PQC6,A0A1W2PQ27,train
A0A1W2PQD8,A0A1W2PQ27,train
A0A1W2PQJ5,A0A1W2PQ27,train
A0A1W2PQL4,O43345,val
A0A1W2PR19,P0CG29,train
A0A1W2PR48,Q04727,train
A0A1W2PR75,A0A1W2PQ27,train
A0A1W2PR95,A0A1W2PR95,train
A0A286YF58,A0A286YF58,train
A0A2R8Y4L2,O14979,train
A0A2R8Y619,Q6DN03,train
A0A2R8YCJ5,A0A2R8YCJ5,test
A0A2R8YFL7,A0A2R8YFL7,val
A0A2Z4LIS9,O43524,train
A0A3B3IS91,A0A3B3IS91,test
A0A3B3IU46,A0A3B3IU46,train
A0A494C0Z2,A6NKU9,train
A0A494C191,A6NKU9,train
A0A576,A0A075B6N3,test
A0A584,A0A075B6N3,test
A0A597,A0A075B6N3,test
A0A5A6,A0A075B6N3,test
A0A5B9,P01860,train
A0A8I5KQE6,A0A8I5KQE6,train
A0AUZ9,Q7Z3B3,val
A0AV02,P55011,train
A0AV96,O43390,test
A0AVF1,A0AVF1,test
A0AVI2,O75923,train
A0AVI4,A0AVI4,train
A0AVK6,Q96AV8,train
A0AVT1,P22314,train
A0FGR8,Q9BSJ8,train
A0FGR9,Q9BSJ8,train
A0JD32,P0DTU3,train
A0JD37,A0JD37,train
A0JLT2,A0JLT2,test
A0JNW5,A0JNW5,train
A0JP26,A5A3E0,train
A0M8Q6,B9A064,train
A0MZ66,A0MZ66,train
A0PG75,Q9NRQ2,test
A0PJE2,A0PJE2,val
A0PJK1,P53794,test
A0PJW6,A0PJW6,val
A0PJW8,A0PJW8,val
A0PJX0,Q99828,test
A0PJX2,Q8NI08,train
A0PJX4,Q6UWI4,train
A0PJX8,A0PJX8,train
A0PJY2,A0PJY2,train
A0PJZ3,A0PJZ3,train
A0PK00,Q9BXJ8,val
A0PK05,A0PK05,train
A0PK11,A0PK11,train
A0ZSE6,A0ZSE6,test
A1A4F0,Q6ZP29,train
A1A4G5,A1A4G5,val
A1A4S6,A6NI28,train
A1A4V9,A1A4V9,train
A1A4Y4,Q6NXR0,train
A1A519,A1A519,train
A1A5B4,Q9NQ90,test
A1A5C7,A1A5C7,train
A1A5D9,Q6ZP65,test
A1E959,A1E959,test
A1IGU5,A1IGU5,test
A1KXE4,Q92567,test
A1KZ92,Q92626,train
A1L020,Q5U5Q3,test
A1L0T0,A1L0T0,train
A1L157,O95859,train
A1L162,A1L162,test
A1L167,Q7Z7E8,train
A1L168,A1L168,val
A1L170,A1L170,train
A1L188,A1L188,train
A1L190,A1L190,test
A1L1A6,A1L1A6,train
A1L390,Q9H7P9,train
A1L3X0,Q9GZR5,val
A1L3X4,P07438,train
A1L429,O75459,test
A1L443,Q86Y26,train
A1L453,Q04756,train
A1L4H1,Q9UGM3,test
A1L4K1,Q8N3K9,train
A1L4L8,A1L4L8,val
A1L4Q6,A1L4Q6,val
A1X283,Q5TCZ1,train
A1XBS5,Q6ZTR7,val
A1YPR0,A1YPR0,test
A1Z1Q3,A1Z1Q3,val
A2A288,Q9C0D7,val
A2A2V5,A0A1B0GWG4,test
A2A2Y4,Q9Y2J2,val
A2A2Z9,Q9UPS8,train
A2A368,O60732,train
A2A3K4,A2A3K4,train
A2A3L6,A2A3L6,val
A2A3N6,A2A3N6,val
A2AJT9,A2AJT9,test
A2CJ06,A2CJ06,train
A2IDD5,A2IDD5,train
A2NJV5,A0A087WW87,test
A2PYH4,A2PYH4,val
A2RRD8,O43345,val
A2RRH5,A2RRH5,train
A2RRL7,A2RRL7,train
A2RRP1,A2RRP1,train
A2RTX5,A2RTX5,train
A2RTY3,A2RTY3,train
A2RU30,A2RU30,train
A2RU37,A2RU37,test
A2RU48,A2RU48,val
A2RU49,A2RU49,train
A2RU54,A6NHT5,train
A2RU67,A2RU67,train
A2RUB1,A2RUB1,train
A2RUB6,A2RUB6,train
A2RUC4,Q96EW2,train
A2RUH7,Q14896,train
A2RUQ5,A2RUQ5,train
A2RUR9,Q9UPS8,train
A2RUS2,A2RUS2,train
A2RUT3,A2RUT3,train
A2RUU4,A2RUU4,train
A2VCK2,Q9UHG0,train
A2VDF0,A2VDF0,train
A2VDJ0,A2VDJ0,train
A2VEC9,A2VEC9,train
A3KFT3,O43869,train
A3KMH1,A3KMH1,val
A3KN83,A3KN83,test
A3QJZ6,P78395,val
A3QJZ7,P78395,val
A4D0S4,P55268,train
A4D0V7,A4D0V7,train
A4D126,A4D126,train
A4D161,A4D161,val
A4D1B5,A4D1B5,train
A4D1E1,A4D1E1,train
A4D1E9,Q9H4K7,train
A4D1F6,A4D1F6,train
A4D1N5,A4D1N5,train
A4D1P6,A4D1P6,train
A4D1S0,A4D1S0,train
A4D1S5,Q8IZ41,train
A4D1T9,Q5K4E3,train
A4D1U4,A4D1U4,train
A4D1Z8,Q3B8N2,train
A4D250,A4D250,train
A4D256,Q9UNH5,test
A4D263,A4D263,test
A4D2B0,A4D2B0,train
A4D2B8,A4D2B8,train
A4D2G3,O43869,train
A4D2H0,Q96PC5,train
A4D2P6,A4D2P6,train
A4FU01,Q9NXD2,test
A4FU28,Q96PC5,train
A4FU49,A4FU49,train
A4FU69,A4FU69,test
A4GXA9,Q96AY2,val
A4IF30,A4IF30,train
A4QMS7,A4QMS7,train
A4QN01,A4QN01,train
A4QPB2,P98164,train
A4QPH2,P42356,val
A4UGR9,A4UGR9,train
A5A3E0,A5A3E0,train
A5D6W6,A5D6W6,train
A5D8T8,Q6UXF7,train
A5D8V6,A5D8V6,train
A5D8V7,A5D8V7,test
A5D8W1,A5D8W1,train
A5PKW4,Q8NDX1,test
A5PL33,A5PL33,train
A5PLK6,A5PLK6,train
A5PLL1,P0C6C1,train
A5PLL7,A5PLL7,train
A5PLN7,A5PLN7,train
A5PLN9,A5PLN9,train
A5X5Y0,P43681,train
A5YKK6,A5YKK6,test
A5YM69,Q12774,test
A5YM72,A5YM72,train
A6BM72,O75095,train
A6H8M9,A6H8M9,train
A6H8Y1,A6H8Y1,train
A6H8Z2,A6H8Z2,val
A6NC05,A6NC05,val
A6NC57,A5A3E0,train
A6NC62,A6NC62,train
A6NC78,Q08379,train
A6NC86,A6NC86,train
A6NC97,Q8WUF8,train
A6NC98,Q9P219,train
A6NCC3,Q08379,train
A6NCE7,Q9BXW4,train
A6NCF5,A6NCF5,val
A6NCF6,O60732,train
A6NCI4,A6NCI4,train
A6NCI8,A6NCI8,train
A6NCJ1,A6NCJ1,train
A6NCK2,A6NLI5,train
A6NCL1,A6NCL1,train
A6NCL2,A6NCL2,val
A6NCL7,A6NCL7,train
A6NCM1,Q86XH1,train
A6NCN2,P12036,train
A6NCN8,A6NCN8,train
A6NCQ9,A6NCQ9,test
A6NCS4,P43699,train
A6NCS6,A6NCS6,val
A6NCV1,O43869,train
A6NCW0,Q9H9J4,test
A6NCW7,Q9H9J4,test
A6ND01,P14207,train
A6ND36,A6ND36,train
A6ND48,O43869,train
A6ND91,A6ND91,train
A6NDA9,Q3SXY7,train
A6NDB9,A6NDB9,train
A6NDD5,Q9H7V2,train
A6NDE4,Q8N7X1,train
A6NDE8,O75459,test
A6NDG6,A6NDG6,test
A6NDH6,O43869,train
A6NDI0,O15553,test
A6NDK9,Q08379,train
A6NDL7,A6NDL7,train
A6NDL8,O43869,train
A6NDN3,Q08379,train
A6NDN8,P62861,train
A6NDP7,Q96S97,train
A6NDR6,O14770,test
A6NDS4,Q92738,train
A6NDU8,A6NDU8,train
A6NDV4,Q9HCN3,train
A6NDX4,A6NDX4,train
A6NDX5,O43345,val
A6NDY0,Q86U42,train
A6NDY2,A6NDY2,train
A6NDZ8,Q9UBB5,train
A6NE01,A6NE01,train
A6NE02,A6NE02,train
A6NE52,A6NE52,train
A6NE82,Q9UBB5,train
A6NEC2,Q9UKU6,test
A6NED2,O95714,train
A6NEE1,A6NEE1,train
A6NEF3,Q08379,train
A6NEH6,A6NEH6,train
A6NEH8,A6NEH8,train
A6NEK1,A6NEK1,test
A6NEL2,A6NEL2,train
A6NEL3,P0C5J1,train
A6NEM1,Q08379,train
A6NEN9,A6NEN9,train
A6NEQ0,Q8N7X1,train
A6NEQ2,A6NEQ2,val
A6NER0,Q92738,train
A6NER3,O75459,test
A6NES4,A6NES4,train
A6NET4,O43869,train
A6NEV1,A6NEV1,train
A6NEY8,A6NEY8,train
A6NF01,Q96HA1,val
A6NF34,A6NF34,train
A6NF36,A6NF36,train
A6NF83,A6NF83,train
A6NF89,O43869,train
A6NFA0,Q6ZU69,train
A6NFA1,A6NFA1,train
A6NFC9,O43869,train
A6NFD8,A6NFD8,train
A6NFE2,A6NFE2,train
A6NFE3,A6NFE3,test
A6NFF2,Q99457,train
A6NFH5,A6NFH5,val
A6NFI3,O43345,val
A6NFK2,A8MXD5,train
A6NFN3,Q9NWB1,val
A6NFN9,A6NFN9,test
A6NFQ2,Q9Y4C2,test
A6NFQ7,A6NFQ7,test
A6NFR6,Q6ZUB1,test
A6NFU0,A6NFU0,train
A6NFX1,Q8NA29,train
A6NFY4,O14524,val
A6NFY7,A6NFY7,test
A6NFZ4,A6NFZ4,train
A6NG13,Q9UQ53,train
A6NGA9,A6NGA9,train
A6NGB0,P0C7N4,train
A6NGB7,A6NGB7,val
A6NGB9,O43516,train
A6NGC4,A6NGC4,val
A6NGD5,P0CG00,train
A6NGE4,P0C7V8,train
A6NGE7,A6NGE7,train
A6NGG8,A6NGG8,train
A6NGH7,A6NGH7,val
A6NGH8,A6NGH8,val
A6NGJ6,O15553,test
A6NGK3,O75459,test
A6NGN4,P78395,val
A6NGN9,Q92626,train
A6NGR9,A6NGR9,train
A6NGS2,A6NGS2,train
A6NGU5,P36269,train
A6NGU7,A6NGU7,train
A6NGW2,Q7RTU9,train
A6NGY1,A6NGY1,train
A6NGY3,A6NGY3,train
A6NGY5,O43869,train
A6NGZ8,A6NGZ8,train
A6NH00,O43869,train
A6NH11,A6NH11,val
A6NH13,A6NH13,test
A6NH21,A6NH21,train
A6NH52,Q96ET8,train
A6NH57,P36406,val
A6NHA9,O43869,train
A6NHC0,P20807,test
A6NHG4,P14174,train
A6NHG9,O43869,train
A6NHJ4,O43345,val
A6NHL2,P68363,train
A6NHN0,A6NHN0,train
A6NHN6,E5RHQ5,train
A6NHP3,A6NKU9,train
A6NHQ2,A6NHQ2,test
A6NHQ4,A6NHQ4,train
A6NHR8,Q5HY64,train
A6NHR9,A6NHR9,train
A6NHS7,A6NHS7,train
A6NHT5,A6NHT5,train
A6NHX0,A6NHX0,train
A6NHY2,O75762,train
A6NHZ5,A6NHZ5,val
A6NI03,O15553,test
A6NI15,A6NI15,train
A6NI28,A6NI28,train
A6NI47,A5A3E0,train
A6NI56,A6NI56,train
A6NI61,Q9HCN3,train
A6NI72,Q5TCZ1,train
A6NI73,Q8N6C5,train
A6NI79,Q5JR59,train
A6NI86,Q08379,train
A6NI87,A6NI87,train
A6NIE6,Q9NYV6,train
A6NIE9,Q5K4E3,train
A6NIH7,A6NIH7,train
A6NIJ5,A6NDY2,train
A6NIJ9,O43869,train
A6NIK2,Q13045,val
A6NIM6,A6NIM6,test
A6NIN4,A6NIN4,train
A6NIR3,Q99490,train
A6NIU2,Q8N2A0,train
A6NIV6,Q96NW7,train
A6NIX2,Q9UGP4,test
A6NIY4,A6NKU9,train
A6NIZ1,Q8IZ41,train
A6NJ08,Q9UBB5,train
A6NJ46,P78426,train
A6NJ64,E5RHQ5,train
A6NJ78,A6NJ78,val
A6NJ88,Q9NXZ1,val
A6NJB7,A6NJB7,test
A6NJG2,A6NEL2,train
A6NJG6,A6NJG6,train
A6NJI1,A6NJI1,train
A6NJI9,A6NJI9,test
A6NJJ6,A6NJJ6,test
A6NJL1,P0CG00,train
A6NJQ4,A6NDY2,train
A6NJR5,A6NKU9,train
A6NJT0,Q96QS3,val
A6NJU9,E5RHQ5,train
A6NJV1,A6NJV1,train
A6NJW4,Q6NUI6,train
A6NJW9,A6NJW9,val
A6NJY1,Q86UD5,train
A6NJZ3,O43869,train
A6NJZ7,O95153,train
A6NK02,O15553,test
A6NK06,A6NK06,train
A6NK44,A6NK44,train
A6NK53,O43345,val
A6NK59,Q9ULJ7,val
A6NK75,O43345,val
A6NK89,A6NK89,val
A6NK97,Q4U2R8,test
A6NKB5,Q96RV3,val
A6NKC0,A6NDY2,train
A6NKC9,A6NKC9,train
A6NKD2,Q9H2G4,train
A6NKD9,Q96PX6,test
A6NKF1,O60318,val
A6NKF2,Q99856,train
A6NKF7,A6NKF7,test
A6NKG5,A6NKG5,train
A6NKH3,A6NKH3,train
A6NKK0,O43869,train
A6NKL6,A6NKL6,train
A6NKN8,A6NKN8,val
A6NKP2,A6NKP2,train
A6NKQ9,A6NKQ9,test
A6NKT7,P49792,train
A6NKU9,A6NKU9,train
A6NKW6,Q6UWV7,train
A6NKX1,A6NKX1,val
A6NKX4,A1A5C7,train
A6NL08,O43869,train
A6NL26,O43869,train
A6NL46,Q9NZP6,train
A6NL88,A6NL88,train
A6NLC5,A6NLC5,train
A6NLE4,A6NLE4,train
A6NLI5,A6NLI5,train
A6NLJ0,Q8TF44,train
A6NLP5,A6NLP5,train
A6NLU0,O15553,test
A6NLU5,A6NLU5,train
A6NLW8,P0CJ85,train
A6NLX3,A6NKU9,train
A6NM03,O43869,train
A6NM10,Q8NBQ7,train
A6NM11,A6NM11,test
A6NM28,O43345,val
A6NM36,Q14160,train
A6NM43,A6NM43,train
A6NM62,A6NM62,train
A6NM76,O43869,train
A6NMA1,A6NMA1,train
A6NMB1,Q96RL6,train
A6NMB9,Q5HY92,val
A6NMD0,A6NMD0,train
A6NMD2,Q08379,train
A6NMK7,O95639,train
A6NMK8,A6NMK8,train
A6NML5,A6NML5,train
A6NMN3,A1A519,train
A6NMS3,O43869,train
A6NMS7,A6NM11,test
A6NMT0,Q14774,val
A6NMX2,Q8N5X7,train
A6NMY6,P08133,test
A6NMZ2,A6NMZ2,train
A6NMZ5,O43869,train
A6NMZ7,P12111,test
A6NN14,O43345,val
A6NN73,Q08379,train
A6NN90,A6NN90,train
A6NN92,A6NN92,train
A6NNA2,Q9UQ35,train
A6NNA5,Q96QS3,val
A6NNB3,A6NNB3,train
A6NNC1,A6NNC1,train
A6NND4,O43869,train
A6NNE9,Q9P2E8,val
A6NNF4,O43345,val
A6NNH2,A6NDY2,train
A6NNJ1,A6NDY2,train
A6NNL0,Q86Y26,train
A6NNL5,A6NNL5,test
A6NNM3,O95153,train
A6NNM8,Q6EMB2,train
A6NNN8,Q9NVC3,test
A6NNP5,A6NNP5,train
A6NNS2,Q9Y394,train
A6NNT2,A6NNT2,test
A6NNV3,A6NKU9,train
A6NNW6,A6NNW6,train
A6NNY8,Q70EK9,train
A6NNZ2,Q9UJT0,train
A6NP11,O43345,val
A6NP61,Q86SH2,train
A6PVC2,A6PVC2,val
A6PVI3,P62995,train
A6PVL3,A6PVL3,val
A6PVS8,A6PVS8,val
A6PVY3,Q8N128,val
A6QL63,A6QL63,train
A6QL64,A6QL64,train
A6XGL0,A6XGL0,train
A7E2F4,Q08379,train
A7E2S9,Q9UPS8,train
A7E2U8,A7E2U8,train
A7E2V4,A7E2V4,train
A7E2Y1,Q7Z406,train
A7KAX9,A7KAX9,train
A7MBM2,Q96F81,val
A7MCY6,A7MCY6,train
A7MD48,A7MD48,train
A7XYQ1,A7XYQ1,train
A8CG34,Q96HA1,val
A8K010,A8K010,train
A8K0R7,A8K0R7,test
A8K0S8,O14770,test
A8K0Z3,A8MWX3,train
A8K2U0,P20742,val
A8K4G0,Q6UXG3,train
A8K554,A8K554,val
A8K5M9,A8K5M9,train
A8K7I4,Q9UQC9,train
A8K855,A8K855,train
A8K8P3,A8K8P3,train
A8K8V0,A8K8V0,test
A8K979,A8K979,train
A8MPP1,Q96FC9,train
A8MPS7,A8MPS7,train
A8MPX8,A8MPX8,val
A8MPY1,Q9UN88,val
A8MQ03,A8MQ03,train
A8MQ11,A4D2B8,train
A8MQ14,O43345,val
A8MQ27,O76050,train
A8MQB3,A8MQB3,train
A8MQT2,Q08379,train
A8MRT5,E5RHQ5,train
A8MSI8,A8MSI8,train
A8MT19,Q8IUC4,train
A8MT33,Q8N0S2,train
A8MT65,O43345,val
A8MT66,A8MT66,val
A8MT69,A8MT69,val
A8MT70,A8MT70,train
A8MTA8,A8MTA8,val
A8MTB9,A8MTB9,val
A8MTI9,P08519,train
A8MTJ3,Q5JWF2,train
A8MTJ6,P85037,train
A8MTL0,Q8N6M8,train
A8MTL3,A8MTL3,train
A8MTL9,P29622,train
A8MTQ0,A8MTQ0,val
A8MTT3,A8MTT3,train
A8MTY0,O43345,val
A8MTY7,A8MXZ3,val
A8MTZ0,A8MTZ0,val
A8MTZ7,A8MTZ7,train
A8MU10,A8MU10,train
A8MU46,P53814,train
A8MU93,A8MU93,train
A8MUA0,Q9NZP6,train
A8MUH7,Q86UT5,train
A8MUI8,Q9NZP6,train
A8MUK1,Q9H9J4,test
A8MUM7,Q3B8N2,train
A8MUP2,A8MUP2,train
A8MUP6,Q2KHT4,train
A8MUU9,A8MUU9,test
A8MUV8,O43345,val
A8MUX0,A8MUX0,train
A8MUZ8,Q9NQV7,val
A8MV23,A8MV23,val
A8MV65,A8MV65,train
A8MV72,Q9NZP6,train
A8MV81,Q4VC39,val
A8MVJ9,A8MVJ9,val
A8MVM7,A8MVM7,test
A8MVS5,A8MVS5,test
A8MVU1,Q5TCZ1,train
A8MVW0,Q5VUB5,train
A8MVW5,A8MVW5,test
A8MVX0,A8MVX0,train
A8MVZ5,Q96KV6,train
A8MW92,A8MW92,test
A8MW95,Q14457,train
A8MW99,A8MW99,train
A8MWA4,Q9NQV7,val
A8MWA6,A6NDY2,train
A8MWD9,Q9UK45,train
A8MWE9,A8MWE9,train
A8MWK0,A8MWK0,train
A8MWL6,O95473,val
A8MWL7,Q6UXP3,train
A8MWP4,A8MWP4,train
A8MWX3,A8MWX3,train
A8MWY0,A8MWY0,train
A8MX19,A6NDY2,train
A8MX76,P20807,test
A8MX80,Q9NZP6,train
A8MXD5,A8MXD5,train
A8MXE2,A8MXE2,train
A8MXJ8,A6NDY2,train
A8MXK1,A8MXK1,val
A8MXQ7,A8MXQ7,test
A8MXT2,Q12816,train
A8MXV4,A8MXV4,train
A8MXV6,A8MXV6,test
A8MXY4,O43345,val
A8MXZ1,A6NDY2,train
A8MXZ3,A8MXZ3,val
A8MY62,A8MY62,train
A8MYA2,A8MYA2,train
A8MYB1,Q8N6Q1,val
A8MYJ7,A8MYJ7,val
A8MYP8,Q3SX64,train
A8MYU2,Q12791,train
A8MYV0,Q9UHG0,train
A8MYZ0,Q4G0A6,train
A8MYZ5,Q8N6M8,train
A8MYZ6,O43524,train
A8MZ25,A8MZ25,test
A8MZ26,A8MZ26,train
A8MZ59,A6NJG6,train
A8MZ97,A8MZ97,train
A8MZA4,Q08379,train
A8MZF0,A8MZF0,train
A8MZG2,A8MZG2,train
A8TX70,P12111,test
A9QM74,O15131,train
A9UHW6,O43310,test
A9YTQ3,P35869,train
B0FP48,B0FP48,train
B0I1T2,Q7Z406,train
B0YJ81,B0YJ81,test
B1AJZ9,B1AJZ9,train
B1AK53,B1AK53,train
B1AK76,B1AK76,train
B1AKI9,Q6H9L7,train
B1AL46,Q86Y26,train
B1AL88,O75949,train
B1AMM8,B1AMM8,train
B1ANH7,B1ANH7,train
B1ANS9,B1ANS9,train
B1ANY3,B1ANY3,val
B1APH4,B1APH4,train
B1ATL7,B1ATL7,train
B2CW77,B2CW77,train
B2RBV5,B2RBV5,train
B2RC85,B2RC85,test
B2RD01,Q96MW7,test
B2RNN3,A6NHN0,train
B2RPK0,P23497,train
B2RTY4,B2RTY4,train
B2RU33,A5A3E0,train
B2RUY7,Q6ZWJ8,train
B2RUZ4,B2RUZ4,train
B2RV13,B2RV13,train
B2RXF0,B2RXF0,test
B2RXF5,Q9H5J0,val
B2RXH2,O94953,train
